x y z
0.7220624268 0.9282580811 0.7492773682 
0.0077994629 0.9243049072 0.0324926514 
0.0252531006 0.2013255127 0.1075249512 
0.3665771729 0.1058976563 0.8031375732 
0.5583972168 0.0584465820 0.6537503174 
0.5002868652 0.2488156006 0.3777299072 
0.6368171387 0.3376988037 0.2012132080 
0.0683466309 0.7062266602 0.7448052246 
0.1649778809 0.1110783691 0.1200779541 
0.7997267822 0.9746735596 0.7036604004 
0.8760912109 0.2118396484 0.8594441406 
0.4738135010 0.2138087158 0.4547569336 
0.2157446533 0.5524348633 0.5910491943 
0.1563889404 0.3183673584 0.8972878906 
0.5753414063 0.1058092529 0.8287860840 
0.2586997070 0.8263738037 0.3171345459 
0.4162545898 0.1472541748 0.1280096924 
0.8434239014 0.1641156494 0.1167310547 
0.0073665527 0.7813072021 0.8156069336 
0.0146116455 0.8055257812 0.4649697998 
0.0298414307 0.8204517822 0.7077425049 
0.1498739258 0.1832743652 0.9360332031 
0.5036107910 0.2194343750 0.9827067627 
0.2873398193 0.2119568848 0.5473332031 
0.8637804932 0.7919218018 0.5393582031 
0.8595546875 0.3825874023 0.3576494141 
0.6900119141 0.2514352295 0.5576509521 
0.9651307129 0.3187422119 0.1061786377 
0.8239359375 0.0480625000 0.9675879639 
0.6378988281 0.6410270264 0.0211213867 
0.5448159668 0.8177298096 0.6937361572 
0.3958448730 0.3106422607 0.1490018066 
0.6799447754 0.2499750977 0.9537276611 
0.1453964111 0.0321776123 0.5306309814 
0.6785618164 0.9303389648 0.2661071289 
0.1624837402 0.2050246826 0.2246637451 
0.7660238037 0.6625373535 0.1185568604 
0.5519602295 0.3127279297 0.3615137207 
0.9364607178 0.9009940918 0.9665663330 
0.8135751465 0.0167741943 0.5571634521 
0.8928878418 0.5810721436 0.0810756592 
0.0729765625 0.6293296143 0.2368149170 
0.0188586670 0.4002788330 0.1966078857 
0.2464057617 0.5845736816 0.9439682861 
0.2030904785 0.0460553955 0.5061818848 
0.1704406494 0.5985458496 0.1448269531 
0.4963028320 0.2357884033 0.7348961914 
0.7058397461 0.9371144531 0.8566163330 
0.8979181396 0.0557995850 0.6372371582 
0.3079985840 0.4223295410 0.8257239502 
0.6692408203 0.3138654053 0.3250313965 
0.0892296387 0.2630920410 0.3293585938 
0.0112950439 0.1151133545 0.3918935303 
0.9458013916 0.8164710205 0.1084623047 
0.3321288818 0.2454341064 0.1714430908 
0.8524126709 0.1056557129 0.6479489258 
0.2827846680 0.4161313721 0.2025224609 
0.8529793701 0.0000637207 0.4261496094 
0.7605801270 0.0107287842 0.8180121826 
0.8632881592 0.7172893066 0.1180214844 
0.4736680908 0.4839058838 0.0200897705 
0.2549196045 0.3114002441 0.2269453125 
0.1885427734 0.4570628662 0.6040846191 
